Team             ,Player         ,     Position,  Salary
Baltimore Orioles,Rafael Palmeiro  ,1b,5406603
Baltimore Orioles,Cal Ripken          ,ss,5400000
Baltimore Orioles,Mike Devereaux  ,of,3375000
Baltimore Orioles,Sid Fernandez  ,p (DL),3333333
Baltimore Orioles,Brady Anderson  ,of,3083333
Baltimore Orioles,Ben McDonalo    ,p,2675000
Baltimore Orioles,Chris Sabo           ,3b,2000000
Baltimore Orioles,Chris Hoiles         ,c,2000000
Baltimore Orioles,Harold Baines      ,of,1800000
Baltimore Orioles,Lee Smith            ,p,1500000
Baltimore Orioles,Mark McLemore        ,2b,1000000
Baltimore Orioles,Mike Mussina      ,p,750000
Baltimore Orioles,Lonnie Smith       ,of,750000
Baltimore Orioles,Jamie Moyer        ,p,725000
Baltimore Orioles,Tim Hulett           ,if,550000
Baltimore Orioles,Mark Eichhorn    ,p,525000
Baltimore Orioles,Leo Gomez          ,if,500000
Baltimore Orioles,Alan Mills            ,p,500000
Baltimore Orioles,Mark Wilhamson       ,p,350000
Baltimore Orioles,Jim Poole             ,p,270000
Baltimore Orioles,Arthur Rhodes     ,p,230000
Baltimore Orioles,Jeff Tackett          ,c,162500
Baltimore Orioles,Jeffrey Hammonds ,of,150000
Baltimore Orioles,Jack Voigt           ,of,150000
Baltimore Orioles,Damon Buford    ,of,130000
Baltimore Orioles,Brad Pennington    ,p,130000
Baltimore Orioles,Pauf Carey   , if/of (DL),115000
Baltimore Orioles,Manny Alexander ,ss (DL),109000
Boston Red Sox,Roger Clemens   ,p,5155250
Boston Red Sox,Andre Dawson    ,of,4425000
Boston Red Sox,Frank Viola         ,p,4333334
Boston Red Sox,Mike Greenwell   ,of,3325000
Boston Red Sox,Otis Nixon           ,of,3250000
Boston Red Sox,Danny Darwin    ,p,2650000
Boston Red Sox,Jeff Russell         ,p,2175000
Boston Red Sox,Joe Hesketh        ,p,1750000
Boston Red Sox,Greg Harris        ,p,1725000
Boston Red Sox,Scott Bankhead,p,1450000
Boston Red Sox,David Valle        ,c,1200000
Boston Red Sox,Mo Vaughn        ,1b,675000
